Size	Sum_H3K36me3	Mean_H3K36me3	Sum_H3K27me3	Mean_H3K27me3	Sum_H3K4me3	Mean_H3K4me3	Sum_CTCF	Mean_CTCF	Sum_DNaseIHSS1	Mean_DNaseIHSS1	Sum_DNaseIHSS2	Mean_DNaseIHSS2	DistanceToOrigin	DistanceToCTCF	DistanceToDNaseIHSS1	DistanceToDNaseIHSS2	DistanceToH3K4me3	DistanceToH3K27me3	DistanceToH3K36me3
865	0	0	0	0	0	0	0	0	3.55299	0.0041075	5.90056	0.00682145	643102	24387	647209	55398	646413	754710	813687
457	0	0	0	0	0	0	0	0	0	0	0	0	590440	27524	594547	108468	593751	702048	761025
450	0	0	0	0	0	0	0	0	0	0	0	0	586497	31474	590604	112181	589808	698105	757082
1391	0	0	0	0	0	0	0	0	0	0	0	0	443909	173121	448016	28868	447220	555517	614494
540	0	0	0	0	0	0	0	0	0	0	0	0	369794	248087	373901	103834	373105	481402	540379
299	0	0	0	0	0	0	0	0	0	0	0	0	267081	271252	271188	97766	270392	378689	437666
1038	0	0	0	0	0	0	0	0	0	0	0	0	84812	88983	88919	77266	88123	196420	255397
488	0	0	0	0	0	0	0	0	0	0	6.71608	0.0137625	63987	68158	68094	67276	67298	175595	234572
667	0	0	0	0	0	0	0	0	0	0	0	0	62357	66528	66464	65646	65668	173965	232942
350	103.899	0.296854	134.745	0.384985	0	0	105.4	0.301143	7.03303	0.0200944	22.355	0.0638713	2774	1246	246357	45818	515958	807465	525940
806	371.113	0.460438	598.58	0.742656	114.759	0.14238	1434.5	1.77978	11.9649	0.0148448	0	0	0	1753	122348	9161	603417	44986	475575
407	43.2146	0.106178	125.828	0.309159	0	0	0	0	0	0	0	0	13132	7513	10345	10345	491414	1152	363572
322	557.007	1.72983	55.206	0.171447	78.3366	0.243281	1178.9	3.66118	75.8385	0.235523	106.594	0.331037	0	2345	5942	5942	4145	15550	0
432	248.257	0.574669	101.998	0.236106	0	0	659.8	1.52731	13.2781	0.0307364	21.1077	0.0488604	0	0	14618	8422	26764	201658	45136
643	188.474	0.293117	121.582	0.189085	70.1384	0.10908	166	0.258165	25.6297	0.0398595	3.07021	0.00477482	5750	2122	747	307	40424	187787	58796
570	218.349	0.383069	384.078	0.673821	201.868	0.354154	273.7	0.480175	7.86473	0.0137978	2.20671	0.00387142	0	697	4875	3327	5304	82050	30455
772	0	0	248.695	0.322144	0	0	291.6	0.37772	11.2353	0.0145535	15.6389	0.0202576	0	7443	41055	21158	40003	113421	43448
449	850.096	1.89331	129.714	0.288895	0	0	376.9	0.839421	21.0699	0.0469262	21.3955	0.0476515	2520	1665	28455	28455	51717	132804	0
948	1187.15	1.25227	255.649	0.269672	50.5821	0.0533566	227.7	0.24019	19.5743	0.020648	19.2368	0.020292	8247	3431	11560	10560	8246	218234	284
719	260.939	0.362919	60.437	0.084057	0	0	575	0.976231	100.396	0.139632	33.5804	0.0467043	12383	1394	42790	0	41403	5312	47670
693	78.1541	0.112776	0	0	0	0	41.6	0.0702703	12.1327	0.0175075	34.7797	0.0501872	10614	11308	11373	11373	11120	76043	10340
1135	327.945	0.288939	0	0	3815.66	3.36181	656.2	0.57815	16.8238	0.0148227	63.8507	0.0562562	0	0	2095	640	0	474539	42672
465	146.764	0.315622	150.363	0.323361	0	0	199.7	0.429462	7.3978	0.0159092	20.1962	0.0434327	0	2893	117182	78037	70048	7350	191631
